product_name,review_text,rating
"Wireless Headphones","These headphones are amazing! Crystal clear sound quality and very comfortable to wear for long periods.",5
"Wireless Headphones","Battery life could be better. They die after about 6 hours of use.",3
"Wireless Headphones","Great product for the price. Highly recommend!",5
"Smart Watch","The fitness tracking is inaccurate. Steps don't match my actual walking.",2
"Smart Watch","Love the design and the battery lasts for days!",4
"Smart Watch","Screen is too small and hard to read in sunlight.",2
"Coffee Maker","Best coffee maker I've ever owned. Makes perfect coffee every time.",5
"Coffee Maker","It's okay but nothing special. Just an average coffee maker.",3
"Coffee Maker","Stopped working after 2 months. Very disappointed.",1
"Laptop Stand","Sturdy and well-built. Really helps with my posture.",5
"Laptop Stand","Good value for money but the rubber pads came off quickly.",3
"Laptop Stand","Perfect height and angle for my setup. Very satisfied.",5
"Bluetooth Speaker","Sound quality is terrible for the price. Very tinny.",2
"Bluetooth Speaker","Amazing bass and crystal clear highs. Worth every penny!",5
"Bluetooth Speaker","Decent speaker but the Bluetooth connection keeps dropping.",3
